Geneid	CD34-HL60_SRR1283403	CD34-HL60_SRR4291626	CD34-HL60_SRR4291627	CD34-HL60_SRR8206650	CD34-HL60_SRR8206651	CD34-HL60_SRR8206652	CD34-HL60_SRR8206653	HL60_SRR13271948	HL60_SRR13271949	HL60_SRR13271950	HL60_SRR13287749	HL60_SRR2142314
ENSG00000170385	439	151	139	414	243	716	280	3011	2859	3232	377	1133
ENSG00000198570	4	0	0	0	0	0	1	0	0	1	0	1
ENSG00000118217	2456	685	1082	759	1280	974	761	3921	3930	5083	736	4682
ENSG00000117054	2608	200	348	236	237	740	351	5028	4947	6297	1158	4541
ENSG00000137955	2857	264	448	574	398	887	532	2833	2388	3330	689	4167
ENSG00000057468	6	0	1	2	3	2	10	5	5	3	2	2
ENSG00000213047	792	273	441	186	159	598	526	2011	1921	2554	210	1651
ENSG00000134376	2	0	0	0	0	4	4	0	0	4	0	2
ENSG00000117400	1967	130	358	10	155	64	64	0	6	1	13	23
ENSG00000117399	182	19	61	10	12	287	89	6371	6107	7370	5240	7887
ENSG00000066322	1493	173	188	407	426	777	937	3488	3338	4344	1441	3873
ENSG00000159479	751	90	131	116	129	405	369	1332	1278	1738	1332	2772
ENSG00000116337	7306	373	476	2404	1521	309	1892	4121	3718	4700	1665	4798
ENSG00000066279	281	134	200	46	29	508	217	4742	4610	5937	1162	7393
ENSG00000117020	1645	574	703	138	205	937	410	695	659	776	797	43
ENSG00000198912	732	108	163	172	88	291	282	1248	1240	1536	657	1535
ENSG00000116604	5471	207	357	2198	812	1125	2302	18745	17560	20444	3223	7095
ENSG00000183856	159	24	82	39	15	248	136	3633	3153	4416	748	2828
ENSG00000163382	1300	75	96	118	71	437	288	3369	3287	4112	1910	2772
ENSG00000160818	907	46	60	71	68	255	87	3755	3408	4515	812	4179
ENSG00000132702	8	0	1	1	0	1	13	1	0	0	1	0
ENSG00000132692	3	0	3	1	0	13	366	37	28	33	228	244
ENSG00000132688	3	0	1	0	4	1	35	0	0	0	3	1
ENSG00000143320	9	0	1	6	8	4	32	5	0	8	12	8
ENSG00000143319	919	136	139	200	180	446	718	4222	4100	5163	3022	5186
ENSG00000143303	842	58	106	133	120	326	592	966	786	1095	223	1010
ENSG00000143314	938	50	88	58	68	353	207	3007	3008	3738	1946	2404
ENSG00000143321	8796	675	873	1190	1297	1978	2777	30207	28709	36688	22752	25444
ENSG00000143294	1323	101	148	271	324	526	752	3470	3210	3782	1826	4143
ENSG00000027869	51	2	14	40	22	360	365	13	8	21	230	242
ENSG00000204006	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000123091	2942	220	258	615	815	813	1009	2001	1867	2208	462	1454
ENSG00000085832	3285	873	1350	986	933	1727	1155	2868	2662	3353	1793	4161
ENSG00000237330	0	0	1	0	0	0	3	0	0	2	0	1
ENSG00000131591	366	9	31	73	32	96	231	842	716	675	421	880
ENSG00000085831	92	7	3	0	4	31	28	2	2	5	7	60
ENSG00000187634	44	0	0	2	2	2	36	11	8	5	126	16
ENSG00000156875	496	48	66	162	155	263	215	1041	1053	1282	397	842
ENSG00000156876	276	61	122	38	59	211	111	1300	1237	1673	591	1940
ENSG00000122435	1048	103	209	104	134	347	240	709	637	927	173	959
ENSG00000122477	45	6	11	18	18	16	17	36	32	36	18	42
ENSG00000137992	652	217	223	146	152	417	210	881	926	1215	874	1307
ENSG00000137996	1068	144	179	235	217	648	595	2126	2115	2537	1011	3015
ENSG00000137948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121774	7738	395	570	862	938	2314	1949	14625	14138	16993	7474	13032
ENSG00000121775	939	28	76	108	113	148	220	856	845	1092	383	998
ENSG00000025800	1506	431	663	776	602	1238	963	4057	3943	5138	2744	5386
ENSG00000160050	569	20	67	39	69	156	136	79	66	68	158	40
ENSG00000064703	1301	138	172	84	82	275	218	2279	2313	2864	1023	2160
ENSG00000122406	97671	4999	5490	3122	3873	6876	4024	76967	74018	95748	32715	99194
ENSG00000154511	638	48	77	136	80	117	104	106	94	149	172	157
ENSG00000143033	2339	425	845	279	351	566	433	3077	3060	3778	1185	5465
ENSG00000189410	2	0	0	0	0	1	12	6	1	13	1	23
ENSG00000127483	8230	1034	1983	1593	1436	2395	3438	12609	12100	15817	4838	12005
ENSG00000117298	1639	151	147	1642	2127	1431	1039	437	460	466	328	1684
ENSG00000143502	2	2	0	0	1	10	6	0	0	1	0	2
ENSG00000178395	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162620	32	10	8	0	2	10	4	68	64	67	0	60
ENSG00000116783	2	1	0	0	0	0	0	0	0	0	0	0
ENSG00000162621	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000178965	10	1	0	0	4	0	11	0	0	0	0	2
ENSG00000116791	1018	51	150	30	44	206	133	724	683	878	370	659
ENSG00000162623	1264	139	181	66	73	244	182	3006	2975	3903	754	3809
ENSG00000259030	81	20	25	8	8	4	6	4	4	1	0	1
ENSG00000154358	7822	279	1317	218	490	686	2041	43	25	38	345	783
ENSG00000263464	34	0	8	1	1	2	4	278	327	368	2	79
ENSG00000203814	1483	525	1143	114	822	20	100	157	176	165	3	79
ENSG00000183598	153	58	114	6	36	5	5	7	10	8	2	8
ENSG00000270882	1100	278	848	48	205	33	185	137	164	150	11	52
